tf.Tensor(0.6370353, shape=(), dtype=float32)
tf.Tensor(0.67524385, shape=(), dtype=float32)
tf.Tensor(0.77167755, shape=(), dtype=float32)
tf.Tensor(0.7176165, shape=(), dtype=float32)
tf.Tensor(0.63126326, shape=(), dtype=float32)
tf.Tensor(0.56695676, shape=(), dtype=float32)
tf.Tensor(0.66830534, shape=(), dtype=float32)
tf.Tensor(0.6625683, shape=(), dtype=float32)
tf.Tensor(0.834256, shape=(), dtype=float32)
tf.Tensor(0.619591, shape=(), dtype=float32)
tf.Tensor(0.5913184, shape=(), dtype=float32)
tf.Tensor(0.6838636, shape=(), dtype=float32)
tf.Tensor(0.61278653, shape=(), dtype=float32)
tf.Tensor(0.63983446, shape=(), dtype=float32)
tf.Tensor(0.6756892, shape=(), dtype=float32)
tf.Tensor(0.60472006, shape=(), dtype=float32)
tf.Tensor(0.64452374, shape=(), dtype=float32)
tf.Tensor(0.6032896, shape=(), dtype=float32)
tf.Tensor(0.56889147, shape=(), dtype=float32)
tf.Tensor(0.55765325, shape=(), dtype=float32)
tf.Tensor(0.5545681, shape=(), dtype=float32)
tf.Tensor(0.76096004, shape=(), dtype=float32)

avg=tf.Tensor(0.64920956, shape=(), dtype=float32)
