tf.Tensor(0.56706995, shape=(), dtype=float32)
tf.Tensor(0.72368914, shape=(), dtype=float32)
tf.Tensor(0.7481942, shape=(), dtype=float32)
tf.Tensor(0.7605684, shape=(), dtype=float32)
tf.Tensor(0.5547454, shape=(), dtype=float32)
tf.Tensor(0.68968076, shape=(), dtype=float32)
tf.Tensor(0.6771381, shape=(), dtype=float32)
tf.Tensor(0.7090974, shape=(), dtype=float32)
tf.Tensor(0.8600874, shape=(), dtype=float32)
tf.Tensor(0.7400387, shape=(), dtype=float32)
tf.Tensor(0.65542054, shape=(), dtype=float32)
tf.Tensor(0.7496526, shape=(), dtype=float32)
tf.Tensor(0.6422716, shape=(), dtype=float32)
tf.Tensor(0.6996331, shape=(), dtype=float32)
tf.Tensor(0.70163417, shape=(), dtype=float32)
tf.Tensor(0.76266736, shape=(), dtype=float32)
tf.Tensor(0.71455175, shape=(), dtype=float32)
tf.Tensor(0.6528901, shape=(), dtype=float32)
tf.Tensor(0.6703349, shape=(), dtype=float32)
tf.Tensor(0.58344984, shape=(), dtype=float32)
tf.Tensor(0.5516994, shape=(), dtype=float32)
tf.Tensor(0.8128352, shape=(), dtype=float32)

avg=tf.Tensor(0.6921524, shape=(), dtype=float32)
