tf.Tensor(0.5665565, shape=(), dtype=float32)
tf.Tensor(0.66285896, shape=(), dtype=float32)
tf.Tensor(0.7504727, shape=(), dtype=float32)
tf.Tensor(0.6934456, shape=(), dtype=float32)
tf.Tensor(0.67538244, shape=(), dtype=float32)
tf.Tensor(0.61326605, shape=(), dtype=float32)
tf.Tensor(0.61758715, shape=(), dtype=float32)
tf.Tensor(0.646951, shape=(), dtype=float32)
tf.Tensor(0.81957006, shape=(), dtype=float32)
tf.Tensor(0.6088101, shape=(), dtype=float32)
tf.Tensor(0.5973459, shape=(), dtype=float32)
tf.Tensor(0.6020147, shape=(), dtype=float32)
tf.Tensor(0.5036024, shape=(), dtype=float32)
tf.Tensor(0.70764375, shape=(), dtype=float32)
tf.Tensor(0.5680738, shape=(), dtype=float32)
tf.Tensor(0.56487054, shape=(), dtype=float32)
tf.Tensor(0.58971506, shape=(), dtype=float32)
tf.Tensor(0.6124958, shape=(), dtype=float32)
tf.Tensor(0.5958161, shape=(), dtype=float32)
tf.Tensor(0.63877946, shape=(), dtype=float32)
tf.Tensor(0.5540477, shape=(), dtype=float32)
tf.Tensor(0.7136672, shape=(), dtype=float32)

avg=tf.Tensor(0.6319533, shape=(), dtype=float32)
