tf.Tensor(0.6827801, shape=(), dtype=float32)
tf.Tensor(0.7896783, shape=(), dtype=float32)
tf.Tensor(0.82545286, shape=(), dtype=float32)
tf.Tensor(0.7630951, shape=(), dtype=float32)
tf.Tensor(0.70953864, shape=(), dtype=float32)
tf.Tensor(0.668719, shape=(), dtype=float32)
tf.Tensor(0.7036317, shape=(), dtype=float32)
tf.Tensor(0.74833137, shape=(), dtype=float32)
tf.Tensor(0.8940107, shape=(), dtype=float32)
tf.Tensor(0.7358095, shape=(), dtype=float32)
tf.Tensor(0.7399144, shape=(), dtype=float32)
tf.Tensor(0.7707701, shape=(), dtype=float32)
tf.Tensor(0.6866133, shape=(), dtype=float32)
tf.Tensor(0.79637957, shape=(), dtype=float32)
tf.Tensor(0.7835479, shape=(), dtype=float32)
tf.Tensor(0.73336077, shape=(), dtype=float32)
tf.Tensor(0.7845411, shape=(), dtype=float32)
tf.Tensor(0.74143475, shape=(), dtype=float32)
tf.Tensor(0.67541665, shape=(), dtype=float32)
tf.Tensor(0.6456767, shape=(), dtype=float32)
tf.Tensor(0.6180572, shape=(), dtype=float32)
tf.Tensor(0.8444753, shape=(), dtype=float32)

avg=tf.Tensor(0.7427835, shape=(), dtype=float32)
